country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","30-06-2025 13:00:00",14.675886,77.593027,CO,40,50,50
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","30-06-2025 13:00:00",13.204880,79.097889,NO2,18,24,21
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","30-06-2025 13:00:00",13.204880,79.097889,NH3,6,7,6
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","30-06-2025 13:00:00",14.465052,78.824187,PM10,47,60,53
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","30-06-2025 13:00:00",14.465052,78.824187,SO2,15,17,16
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","30-06-2025 13:00:00",14.465052,78.824187,CO,14,18,15
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-06-2025 13:00:00",16.9872867,81.7363176,OZONE,5,7,6
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","30-06-2025 13:00:00",16.554731,80.649110,SO2,18,33,22
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","30-06-2025 13:00:00",27.103358,93.679645,PM2.5,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","30-06-2025 13:00:00",27.103358,93.679645,NO2,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","30-06-2025 13:00:00",27.103358,93.679645,CO,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","30-06-2025 13:00:00",26.071318,91.87488,NO2,2,21,9
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","30-06-2025 13:00:00",26.071318,91.87488,OZONE,20,37,24
India,Assam,Guwahati,"IITG, Guwahati - PCBA","30-06-2025 13:00:00",26.2028636,91.70046436,SO2,21,28,24
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","30-06-2025 13:00:00",26.987634,94.636574,SO2,7,11,9
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","30-06-2025 13:00:00",26.987634,94.636574,CO,10,22,13
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","30-06-2025 13:00:00",26.146529,87.454184,PM2.5,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","30-06-2025 13:00:00",25.5626095,84.663264,NO2,4,9,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","30-06-2025 13:00:00",24.75746,84.366208,PM10,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","30-06-2025 13:00:00",24.75746,84.366208,NO2,7,8,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","30-06-2025 13:00:00",24.75746,84.366208,SO2,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","30-06-2025 13:00:00",24.75746,84.366208,OZONE,1,58,8
India,Bihar,Munger,"Town Hall, Munger - BSPCB","30-06-2025 13:00:00",25.376776,86.471523,CO,10,48,13
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","30-06-2025 13:00:00",26.11442,85.39813,PM10,36,54,47
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","30-06-2025 13:00:00",26.11442,85.39813,NH3,3,5,4
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","30-06-2025 13:00:00",26.11442,85.39813,OZONE,11,39,26
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","30-06-2025 13:00:00",26.1403345,85.3650192,NH3,2,4,2
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","30-06-2025 13:00:00",26.1209,85.3647,CO,10,70,29
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","30-06-2025 13:00:00",25.204762,85.514960,SO2,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","30-06-2025 13:00:00",25.567520,83.966379,CO,18,31,25
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","30-06-2025 13:00:00",25.7808257,84.7446768,SO2,6,9,8
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","30-06-2025 13:00:00",25.7808257,84.7446768,CO,4,10,7
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","30-06-2025 13:00:00",24.792403,84.992416,PM10,33,187,85
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","30-06-2025 13:00:00",26.10887,91.589544,PM2.5,15,83,44
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","30-06-2025 13:00:00",26.10887,91.589544,PM10,12,71,38
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","30-06-2025 13:00:00",26.349082,92.68449,PM10,48,58,58
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","30-06-2025 13:00:00",26.349082,92.68449,NH3,4,4,4
